interaction_id,user_id,product_id,interaction_type,interaction_date,rating,session_duration
1,559,114,add_to_cart,2023-12-05 10:25:45.743084,,
2,907,593,view,2023-12-08 10:25:45.743084,,8.0
3,907,872,view,2023-12-08 10:25:45.743084,,14.0
4,367,195,view,2023-12-16 10:25:45.743084,,71.0
5,180,314,view,2023-12-22 10:25:45.743084,,24.0
6,4579,88,view,2023-12-23 10:25:45.743084,,161.0
7,303,195,view,2023-12-29 10:25:45.743084,,30.0
8,3903,128,view,2023-12-31 10:25:45.743084,,79.0
9,3959,303,view,2024-01-03 10:25:45.743084,,14.0
10,964,350,add_to_cart,2024-01-06 10:25:45.743084,,
11,3012,773,view,2024-01-08 10:25:45.743084,,117.0
12,2590,907,view,2024-01-09 10:25:45.743084,,100.0
13,3778,738,view,2024-01-11 10:25:45.743084,,34.0
14,3933,124,add_to_cart,2024-01-19 10:25:45.743084,,
15,4364,155,view,2024-01-19 10:25:45.743084,,50.0
16,232,751,view,2024-01-22 10:25:45.743084,,52.0
17,475,646,purchase,2024-01-22 10:25:45.743084,5.0,
18,519,100,purchase,2024-01-23 10:25:45.743084,4.0,
19,559,358,view,2024-01-24 10:25:45.743084,,42.0
20,1736,273,view,2024-01-30 10:25:45.743084,,77.0
21,231,680,view,2024-01-30 10:25:45.743084,,12.0
22,4070,680,purchase,2024-02-01 10:25:45.743084,5.0,
23,3645,883,add_to_cart,2024-02-05 10:25:45.743084,,
24,1328,272,add_to_cart,2024-02-05 10:25:45.743084,,
25,4204,270,add_to_cart,2024-02-05 10:25:45.743084,,
26,2013,227,view,2024-02-05 10:25:45.743084,,15.0
27,1442,700,purchase,2024-02-06 10:25:45.743084,5.0,
28,1714,62,view,2024-02-06 10:25:45.743084,,56.0
29,2730,165,view,2024-02-06 10:25:45.743084,,5.0
30,2215,616,view,2024-02-06 10:25:45.743084,,113.0
31,3099,785,view,2024-02-09 10:25:45.743084,,73.0
32,2695,314,view,2024-02-10 10:25:45.743084,,5.0
33,2882,358,view,2024-02-10 10:25:45.743084,,14.0
34,288,143,view,2024-02-10 10:25:45.743084,,51.0
35,1499,304,view,2024-02-11 10:25:45.743084,,17.0
36,4458,426,view,2024-02-14 10:25:45.743084,,29.0
37,3809,542,view,2024-02-14 10:25:45.743084,,0.0
38,4284,314,view,2024-02-15 10:25:45.743084,,32.0
39,4764,883,view,2024-02-16 10:25:45.743084,,53.0
40,1789,849,view,2024-02-16 10:25:45.743084,,42.0
41,966,688,view,2024-02-16 10:25:45.743084,,99.0
42,3756,421,add_to_cart,2024-02-18 10:25:45.743084,,
43,2309,616,view,2024-02-20 10:25:45.743084,,3.0
44,979,362,view,2024-02-20 10:25:45.743084,,81.0
45,4205,114,add_to_cart,2024-02-20 10:25:45.743084,,
46,101,628,view,2024-02-21 10:25:45.743084,,0.0
47,291,827,view,2024-02-21 10:25:45.743084,,71.0
48,4472,385,view,2024-02-22 10:25:45.743084,,27.0
49,2428,165,view,2024-02-22 10:25:45.743084,,60.0
50,4251,304,view,2024-02-23 10:25:45.743084,,6.0
51,3542,598,view,2024-02-23 10:25:45.743084,,38.0
52,2382,919,view,2024-02-23 10:25:45.743084,,27.0
53,3721,158,view,2024-02-24 10:25:45.743084,,146.0
