product_id,name,category,subcategory,price,stock,initial_rating,added_date,description,price_range,popularity,conversion_rate,avg_rating
1,Dell Photo Appareil Photo Standard,5,3,3.616678382134035,190,3.7,2025-08-26 10:25:45.743084,Performant Dell Photo Appareil Photo Standard. Haute performance. Idéal pour appareil photo. Catégorie Photo.,3,0.7765229336004332,-0.25570622894531914,-0.03119784254254351
2,Xiaomi Ordinateurs Laptop Plus,4,18,-0.06346827469187738,217,4.2,2024-07-12 10:25:45.743084,Élégant Xiaomi Ordinateurs Laptop Plus. Connectivité avancée. Idéal pour laptop. Catégorie Ordinateurs.,3,-0.6655910859432285,0.8807925872240341,-1.1339640820899148
3,Sony Ordinateurs Desktop Pro,4,12,1.8523452947704144,428,5.0,2023-12-04 10:25:45.743084,Performant Sony Ordinateurs Desktop Pro. Design moderne. Idéal pour desktop. Catégorie Ordinateurs.,3,-0.5546592382860237,-0.3474602618103677,0.5814500683171065
4,Lenovo Accessoires Cable Pro,0,5,-0.7922185158494279,153,3.7,2024-03-06 10:25:45.743084,Puissant Lenovo Accessoires Cable Pro. Design moderne. Idéal pour cable. Catégorie Accessoires.,3,-0.11093184765720475,-1.0234440549589918,-1.2564936642618445
5,Asus Smartphones iPhone Pro,7,35,-0.2721517436074159,276,4.9,2024-08-14 10:25:45.743084,Premium Asus Smartphones iPhone Pro. Design moderne. Idéal pour iphone. Catégorie Smartphones.,3,0.5546592382860237,0.2864766925299688,0.8877740237469325
6,Lenovo Audio Soundbar Pro,1,27,-0.7531676462170058,81,4.7,2025-03-23 10:25:45.743084,Innovant Lenovo Audio Soundbar Pro. Design moderne. Idéal pour soundbar. Catégorie Audio.,3,0.11093184765720475,0.985671862758281,0.2313655478258789
7,Dell Accessoires Souris Max,0,28,-0.8728135107409463,220,5.0,2024-01-12 10:25:45.743084,Élégant Dell Accessoires Souris Max. Design moderne. Idéal pour souris. Catégorie Accessoires.,0,0.33279554297161423,0.8695790797769765,0.49392893819429967
8,Lenovo Audio Casque Bluetooth Lite,1,9,-0.6285352704397171,434,3.8,2025-07-10 10:25:45.743084,Révolutionnaire Lenovo Audio Casque Bluetooth Lite. Design moderne. Idéal pour casque bluetooth. Catégorie Audio.,3,1.5530458672008665,0.36076617936672695,-0.4396297831156441
9,Apple Tablettes Android Tablet Plus,8,2,-0.5418997050055245,279,3.8,2024-11-09 10:25:45.743084,Puissant Apple Tablettes Android Tablet Plus. Interface intuitive. Idéal pour android tablet. Catégorie Tablettes.,3,0.443727390628819,0.8147574878135823,-0.03119784254254351
10,Samsung Audio Écouteurs Plus,1,37,-0.930168525339928,110,3.5,2025-06-22 10:25:45.743084,Polyvalent Samsung Audio Écouteurs Plus. Connectivité avancée. Idéal pour écouteurs. Catégorie Audio.,2,-0.2218636953144095,0.6331609644348404,0.27512611288728234
