user_id,age,gender,location,registration_date,activity_level
1,33,M,69,2025-08-20 10:25:45.743084,2
2,28,M,75,2024-02-27 10:25:45.743084,2
3,35,M,67,2023-11-30 10:25:45.743084,2
4,42,M,31,2024-08-12 10:25:45.743084,2
5,28,M,69,2024-07-12 10:25:45.743084,1
6,28,F,75,2024-06-20 10:25:45.743084,3
7,42,F,69,2024-03-26 10:25:45.743084,3
8,36,F,67,2024-02-17 10:25:45.743084,3
9,26,M,69,2025-09-27 10:25:45.743084,2
10,34,M,67,2025-05-16 10:25:45.743084,2
11,26,M,67,2024-02-02 10:25:45.743084,2
12,26,Other,75,2025-07-01 10:25:45.743084,1
13,31,F,75,2025-01-10 10:25:45.743084,3
14,18,F,67,2023-12-07 10:25:45.743084,1
15,18,M,69,2023-12-05 10:25:45.743084,1
16,25,F,75,2024-02-08 10:25:45.743084,3
17,21,M,13,2024-06-15 10:25:45.743084,1
18,32,F,33,2024-06-30 10:25:45.743084,5
19,22,F,35,2025-04-05 10:25:45.743084,2
20,18,Other,75,2025-07-13 10:25:45.743084,5
21,41,F,75,2023-12-02 10:25:45.743084,1
22,28,M,67,2025-06-01 10:25:45.743084,3
23,30,F,34,2024-05-26 10:25:45.743084,2
24,18,F,33,2025-08-31 10:25:45.743084,4
25,25,M,34,2025-10-23 10:25:45.743084,2
26,30,M,31,2025-05-16 10:25:45.743084,1
27,20,M,34,2025-01-07 10:25:45.743084,4
28,33,M,69,2024-06-17 10:25:45.743084,2
29,25,M,13,2025-02-06 10:25:45.743084,1
30,27,F,34,2025-06-30 10:25:45.743084,2
31,25,M,31,2024-08-15 10:25:45.743084,3
32,44,M,67,2023-11-11 10:25:45.743084,1
33,29,F,69,2024-04-16 10:25:45.743084,2
34,21,F,67,2025-10-19 10:25:45.743084,1
35,36,F,67,2025-01-10 10:25:45.743084,3
36,20,M,13,2024-10-18 10:25:45.743084,3
37,31,F,35,2024-08-15 10:25:45.743084,2
38,18,F,31,2024-04-12 10:25:45.743084,2
39,19,M,67,2024-06-12 10:25:45.743084,1
40,31,M,31,2024-10-14 10:25:45.743084,1
41,35,F,34,2024-02-17 10:25:45.743084,1
42,31,F,31,2024-02-07 10:25:45.743084,2
43,29,Other,13,2024-11-28 10:25:45.743084,2
44,27,F,75,2024-02-12 10:25:45.743084,4
45,18,F,31,2024-11-06 10:25:45.743084,1
46,24,F,34,2024-10-22 10:25:45.743084,3
47,26,M,33,2025-07-15 10:25:45.743084,2
48,38,M,59,2024-08-01 10:25:45.743084,2
49,32,M,13,2023-12-19 10:25:45.743084,4
50,18,F,44,2025-02-17 10:25:45.743084,1
51,32,F,75,2025-05-07 10:25:45.743084,1
52,26,F,35,2024-03-11 10:25:45.743084,3
53,24,M,67,2024-11-26 10:25:45.743084,2
54,34,F,31,2024-01-24 10:25:45.743084,1
55,38,M,75,2025-05-23 10:25:45.743084,1
56,37,M,75,2024-08-31 10:25:45.743084,2
57,23,F,59,2025-08-09 10:25:45.743084,3
58,27,F,33,2025-07-30 10:25:45.743084,1
59,32,Other,35,2024-11-09 10:25:45.743084,2
60,37,M,13,2025-06-18 10:25:45.743084,2
61,26,F,34,2024-05-19 10:25:45.743084,2
62,28,M,59,2025-10-26 10:25:45.743084,5
63,21,M,69,2024-01-15 10:25:45.743084,1
64,20,F,44,2023-12-21 10:25:45.743084,5
65,36,F,75,2025-09-12 10:25:45.743084,3
66,40,F,31,2024-06-25 10:25:45.743084,3
67,29,M,67,2024-08-27 10:25:45.743084,2
68,38,F,31,2024-01-25 10:25:45.743084,2
69,32,M,35,2024-06-30 10:25:45.743084,4
70,24,F,33,2024-02-16 10:25:45.743084,4
71,32,M,75,2024-11-28 10:25:45.743084,1
72,42,M,33,2024-08-15 10:25:45.743084,1
73,29,F,44,2025-02-11 10:25:45.743084,2
74,42,F,69,2025-08-16 10:25:45.743084,4
75,18,M,75,2024-11-12 10:25:45.743084,2
76,36,M,31,2024-04-19 10:25:45.743084,3
77,30,F,75,2024-11-18 10:25:45.743084,3
78,27,M,75,2024-11-02 10:25:45.743084,3
79,30,M,31,2024-06-06 10:25:45.743084,3
80,18,M,69,2025-09-21 10:25:45.743084,2
81,28,M,67,2024-08-04 10:25:45.743084,5
82,32,F,69,2025-10-23 10:25:45.743084,3
83,41,F,34,2025-10-04 10:25:45.743084,3
84,25,F,44,2025-08-29 10:25:45.743084,2
85,23,Other,34,2024-01-17 10:25:45.743084,3
86,25,M,13,2025-07-20 10:25:45.743084,1
87,37,M,67,2025-08-16 10:25:45.743084,1
88,32,M,44,2024-04-28 10:25:45.743084,3
89,25,M,35,2025-05-04 10:25:45.743084,2
90,34,M,69,2024-07-12 10:25:45.743084,3
